privateIP,privatePort,publicIP,publicPort,destIP,destPort,imei,imsi,startTime,endTime,originCellID,originLat,originLong,uplinkVolume,downlinkVolume,totalVolume,accessType
13.211.73.232,44225,8.246.71.26,13935,31.13.64.51,5223,617666759246996,404452991936654,2025-08-10 09:08:05,2025-08-10 09:08:07,40440-26279-8879946,13.027665,80.285278,9691,16739,26430,4G
143.226.82.135,62756,50.141.173.248,39383,31.13.64.51,3478,617666759246996,404452991936654,2025-08-10 09:08:07,2025-08-10 09:08:08,40440-26279-8879946,13.027665,80.285278,3030,4921,7951,4G
115.104.141.203,57322,116.75.113.90,57322,157.240.2.53,52350,617666759246996,404452991936654,2025-08-10 09:08:08,2025-08-10 09:13:27,40440-26279-8879946,13.027665,80.285278,10906254,6804135,17710389,4G
222.245.170.135,63188,92.243.70.247,38539,142.250.52.162,8080,717482923121972,404452991750538,2025-08-10 09:09:41,2025-08-10 09:24:39,40440-28774-8926994,13.074391,80.137382,407765,24323427,24731192,2G
8.223.172.78,53775,122.150.177.107,16158,69.63.176.13,5222,394049399274924,404452991905828,2025-08-10 09:23:15,2025-08-10 09:23:17,40440-16232-3434072,12.901359,80.282826,7472,10470,17942,4G
50.28.29.34,42673,33.132.210.234,17711,185.60.216.35,3478,394049399274924,404452991905828,2025-08-10 09:23:17,2025-08-10 09:23:18,40440-16232-3434072,12.901359,80.282826,3704,4812,8516,3G
183.22.77.70,54484,62.183.239.47,54484,157.240.2.53,59478,394049399274924,404452991905828,2025-08-10 09:23:18,2025-08-10 09:29:23,40440-16232-3434072,12.901359,80.282826,7425077,6408068,13833145,3G
200.252.160.134,48128,159.4.28.219,27039,31.13.65.49,5222,671791601748328,404452991750538,2025-08-10 09:39:19,2025-08-10 09:39:21,40440-40926-7426575,12.916186,80.139105,14079,19919,33998,3G
179.240.187.21,59420,146.31.91.145,23386,157.240.2.53,3478,671791601748328,404452991750538,2025-08-10 09:39:21,2025-08-10 09:39:22,40440-40926-7426575,12.916186,80.139105,4935,3367,8302,2G
26.155.68.22,59865,6.69.146.187,59865,185.60.218.35,58528,671791601748328,404452991750538,2025-08-10 09:39:22,2025-08-10 09:45:49,40440-40926-7426575,12.916186,80.139105,6044549,8181117,14225666,3G
59.166.183.33,40578,155.171.30.109,14220,157.240.2.53,5223,725442717947528,404452991936654,2025-08-10 09:39:40,2025-08-10 09:39:42,40440-37755-1418466,13.047721,80.23058,12639,12580,25219,2G
70.113.164.102,54109,68.111.35.213,5330,31.13.65.49,3478,725442717947528,404452991936654,2025-08-10 09:39:42,2025-08-10 09:39:43,40440-37755-1418466,13.047721,80.23058,3810,4087,7897,2G
18.246.77.18,59478,159.76.142.205,59478,185.60.218.35,59073,725442717947528,404452991936654,2025-08-10 09:39:43,2025-08-10 09:44:09,40440-37755-1418466,13.047721,80.23058,8959498,5033458,13992956,3G
18.131.101.72,45068,90.178.35.56,3916,185.60.218.35,5223,085969647192827,404452991639871,2025-08-10 09:45:16,2025-08-10 09:45:18,40440-24895-3655771,13.024739,80.109346,11269,16428,27697,2G
136.40.183.78,46325,122.6.151.224,8453,69.63.176.13,3478,085969647192827,404452991639871,2025-08-10 09:45:18,2025-08-10 09:45:19,40440-24895-3655771,13.024739,80.109346,2854,3687,6541,3G
194.96.59.191,57108,11.124.60.164,57108,69.63.176.13,58503,085969647192827,404452991639871,2025-08-10 09:45:19,2025-08-10 09:53:34,40440-24895-3655771,13.024739,80.109346,9225132,16326341,25551473,4G
159.139.166.13,61978,132.52.253.246,41843,172.217.196.45,8443,524339855794483,404452991935917,2025-08-10 09:45:35,2025-08-10 09:54:22,40440-30390-3118992,12.962295,80.295002,334313,9256240,9590553,4G
57.153.168.181,61422,182.202.76.110,44554,13.51.145.188,8443,430018170373967,404452991814631,2025-08-10 09:57:58,2025-08-10 10:02:45,40440-41647-3118841,12.909004,80.181443,280786,24495562,24776348,2G
201.46.116.61,41984,188.50.54.43,10111,142.250.52.162,80,839301579655653,404452991927001,2025-08-10 10:11:39,2025-08-10 10:37:23,40440-9331-3554349,12.97977,80.206022,243206,45094700,45337906,2G
44.160.202.161,41270,203.54.163.137,3780,69.63.178.13,5222,974928629578815,404452991639871,2025-08-10 10:34:46,2025-08-10 10:34:48,40440-46253-7522873,13.073971,80.21622,14005,16167,30172,2G
106.70.196.27,47534,87.249.66.111,35628,157.240.1.53,3478,974928629578815,404452991639871,2025-08-10 10:34:48,2025-08-10 10:34:49,40440-46253-7522873,13.073971,80.21622,2169,3072,5241,2G
16.254.167.105,59154,107.97.225.108,59154,185.60.218.35,51059,974928629578815,404452991639871,2025-08-10 10:34:49,2025-08-10 10:37:49,40440-46253-7522873,13.073971,80.21622,5858048,5937028,11795076,2G
69.170.215.133,45667,38.203.3.175,44392,69.63.178.13,5223,641075764520014,404452991905828,2025-08-10 10:35:40,2025-08-10 10:35:42,40440-44624-1275501,12.976153,80.28145,5754,19126,24880,3G
180.199.29.166,51687,200.95.164.192,9676,31.13.65.49,3478,641075764520014,404452991905828,2025-08-10 10:35:42,2025-08-10 10:35:43,40440-44624-1275501,12.976153,80.28145,4495,2349,6844,3G
115.139.251.244,58234,19.188.138.85,58234,185.60.216.35,58694,641075764520014,404452991905828,2025-08-10 10:35:43,2025-08-10 10:36:13,40440-44624-1275501,12.976153,80.28145,632770,488643,1121413,4G
148.210.234.246,56425,151.29.47.80,50186,31.13.64.51,5223,457375711950303,404452991927001,2025-08-10 10:59:14,2025-08-10 10:59:16,40440-3370-3773301,13.072028,80.263747,12567,14416,26983,3G
93.66.96.62,42446,87.18.242.26,8312,31.13.65.49,3478,457375711950303,404452991927001,2025-08-10 10:59:16,2025-08-10 10:59:17,40440-3370-3773301,13.072028,80.263747,2095,2227,4322,2G
65.113.100.74,50429,218.208.21.154,50429,157.240.2.53,51977,457375711950303,404452991927001,2025-08-10 10:59:17,2025-08-10 11:08:08,40440-3370-3773301,13.072028,80.263747,8614117,15342892,23957009,3G
139.68.18.201,19706,42.197.157.13,33408,172.217.196.45,8443,809427252158478,404452991706055,2025-08-10 11:04:20,2025-08-10 11:09:02,40440-3408-5567496,12.99366,80.251058,374828,37021006,37395834,4G
145.68.236.151,50485,148.107.223.184,33051,157.240.1.53,5222,758526076599532,404452991927001,2025-08-10 11:05:44,2025-08-10 11:05:46,40440-8789-528948,13.005422,80.148231,5829,13140,18969,3G
222.116.128.112,61453,122.168.81.155,49548,157.240.2.53,3478,758526076599532,404452991927001,2025-08-10 11:05:46,2025-08-10 11:05:47,40440-8789-528948,13.005422,80.148231,3027,4123,7150,2G
130.10.190.152,52333,190.149.59.156,52333,185.60.218.35,52352,758526076599532,404452991927001,2025-08-10 11:05:47,2025-08-10 11:08:13,40440-8789-528948,13.005422,80.148231,3915696,2274878,6190574,3G
126.238.115.44,9209,52.203.157.178,20965,172.217.196.45,8443,895505186581294,404452991927001,2025-08-10 11:07:05,2025-08-10 11:34:55,40440-11491-9284362,13.081166,80.182249,492806,12510958,13003764,3G
161.1.144.249,64263,83.175.111.254,54893,157.240.1.53,5223,138478046401001,404452991927001,2025-08-10 11:14:36,2025-08-10 11:14:38,40440-7264-712603,12.988983,80.171426,12128,12561,24689,3G
151.132.23.214,51755,140.243.29.186,49619,69.63.178.13,3478,138478046401001,404452991927001,2025-08-10 11:14:38,2025-08-10 11:14:39,40440-7264-712603,12.988983,80.171426,2483,4203,6686,3G
63.176.16.123,54862,174.51.131.10,54862,31.13.64.51,54700,138478046401001,404452991927001,2025-08-10 11:14:39,2025-08-10 11:16:58,40440-7264-712603,12.988983,80.171426,2242993,3687245,5930238,2G
131.202.208.125,50607,108.45.204.43,41972,185.60.216.35,5222,546496977473981,404452991905828,2025-08-10 11:15:43,2025-08-10 11:15:45,40440-21520-4133832,12.964949,80.284338,6953,13900,20853,2G
129.42.121.2,40557,97.246.12.192,57626,31.13.65.49,3478,546496977473981,404452991905828,2025-08-10 11:15:45,2025-08-10 11:15:46,40440-21520-4133832,12.964949,80.284338,4403,2639,7042,4G
15.158.104.114,55317,126.187.104.179,55317,31.13.64.51,55790,546496977473981,404452991905828,2025-08-10 11:15:46,2025-08-10 11:19:24,40440-21520-4133832,12.964949,80.284338,6362379,3683606,10045985,4G
30.219.72.98,59728,218.212.119.225,55035,185.60.216.35,5222,209121672874910,404452991814631,2025-08-10 11:21:23,2025-08-10 11:21:25,40440-17824-1559078,12.944538,80.186853,6664,13284,19948,3G
67.28.227.120,44434,37.88.136.232,32751,31.13.65.49,3478,209121672874910,404452991814631,2025-08-10 11:21:25,2025-08-10 11:21:26,40440-17824-1559078,12.944538,80.186853,2151,3680,5831,3G
152.68.1.108,54290,105.23.27.186,54290,69.63.178.13,53027,209121672874910,404452991814631,2025-08-10 11:21:26,2025-08-10 11:22:27,40440-17824-1559078,12.944538,80.186853,2099369,2049131,4148500,4G
153.113.84.163,53227,135.65.22.15,57616,31.13.64.51,5222,282490767230083,404452991936654,2025-08-10 11:23:34,2025-08-10 11:23:36,40440-36178-9219257,12.988426,80.231756,12908,13223,26131,3G
210.105.110.17,45959,144.86.14.105,53733,157.240.1.53,3478,282490767230083,404452991936654,2025-08-10 11:23:36,2025-08-10 11:23:37,40440-36178-9219257,12.988426,80.231756,3139,3807,6946,4G
117.204.127.80,53364,91.14.198.8,53364,185.60.218.35,54338,282490767230083,404452991936654,2025-08-10 11:23:37,2025-08-10 11:32:51,40440-36178-9219257,12.988426,80.231756,13459097,11437447,24896544,4G
220.167.125.236,41322,79.248.132.100,2810,142.250.52.162,8080,199442742519758,404452991706055,2025-08-10 11:27:04,2025-08-10 11:30:10,40440-12781-8609061,13.037442,80.245875,265500,6192252,6457752,2G
119.107.28.14,62854,168.158.253.107,8532,142.250.52.162,8443,356999238927690,404452991639871,2025-08-10 11:43:22,2025-08-10 11:53:01,40440-8655-8687144,13.054824,80.172358,319650,11020085,11339735,4G
190.57.38.21,37330,99.128.47.72,11180,172.217.196.45,8080,984781508171840,404452991750538,2025-08-10 12:40:32,2025-08-10 13:06:05,40440-22675-6886858,13.052569,80.296542,125540,48236412,48361952,4G
145.191.61.31,27373,20.117.125.193,33754,52.27.197.74,8080,909024242685228,404452991927001,2025-08-10 12:54:50,2025-08-10 12:56:22,40440-43689-8370003,13.092937,80.212452,125644,35762390,35888034,4G
68.99.198.11,52988,121.185.80.176,39366,69.63.176.13,5222,256124417550125,404452991936654,2025-08-10 13:04:31,2025-08-10 13:04:33,40440-6953-8592572,13.080597,80.262662,12860,14006,26866,2G
71.145.6.118,58574,88.199.71.158,7104,31.13.64.51,3478,256124417550125,404452991936654,2025-08-10 13:04:33,2025-08-10 13:04:34,40440-6953-8592572,13.080597,80.262662,4078,2425,6503,4G
215.161.115.132,56670,169.179.238.254,56670,157.240.1.53,50724,256124417550125,404452991936654,2025-08-10 13:04:34,2025-08-10 13:12:33,40440-6953-8592572,13.080597,80.262662,11081788,9682326,20764114,3G
46.52.104.135,41212,189.192.110.34,35823,31.13.64.51,5223,068099871032226,404452991927001,2025-08-10 13:22:30,2025-08-10 13:22:32,40440-26130-1146453,12.9827,80.163295,8608,15956,24564,3G
192.15.84.65,50924,28.224.126.152,57490,69.63.178.13,3478,068099871032226,404452991927001,2025-08-10 13:22:32,2025-08-10 13:22:33,40440-26130-1146453,12.9827,80.163295,3241,4569,7810,4G
177.212.102.211,54526,75.12.87.148,54526,185.60.218.35,57714,068099871032226,404452991927001,2025-08-10 13:22:33,2025-08-10 13:26:33,40440-26130-1146453,12.9827,80.163295,3887820,3822232,7710052,4G
134.250.220.39,3213,153.2.188.52,13962,13.51.145.188,80,102848519475477,404452991706055,2025-08-10 13:31:07,2025-08-10 13:56:49,40440-15920-1310978,12.986782,80.148401,150368,45813891,45964259,4G
16.245.226.185,48131,86.176.83.174,44699,157.240.2.53,5222,473683594436953,404452991639871,2025-08-10 13:32:43,2025-08-10 13:32:45,40440-40058-3445718,13.046337,80.111039,11626,13080,24706,3G
69.103.198.1,43358,132.138.76.56,43438,69.63.178.13,3478,473683594436953,404452991639871,2025-08-10 13:32:45,2025-08-10 13:32:46,40440-40058-3445718,13.046337,80.111039,4792,4086,8878,4G
36.28.205.70,59389,100.156.65.128,59389,31.13.64.51,54782,473683594436953,404452991639871,2025-08-10 13:32:46,2025-08-10 13:37:30,40440-40058-3445718,13.046337,80.111039,8195072,4645079,12840151,2G
215.120.117.225,44567,56.112.84.143,39029,185.60.218.35,5222,139499349539606,404452991706055,2025-08-10 13:38:05,2025-08-10 13:38:07,40440-40399-9769120,12.949866,80.217186,10807,14552,25359,2G
87.167.214.38,53052,84.233.154.8,37816,157.240.2.53,3478,139499349539606,404452991706055,2025-08-10 13:38:07,2025-08-10 13:38:08,40440-40399-9769120,12.949866,80.217186,2980,2870,5850,3G
8.6.186.127,58372,205.245.204.63,58372,185.60.218.35,56319,139499349539606,404452991706055,2025-08-10 13:38:08,2025-08-10 13:47:03,40440-40399-9769120,12.949866,80.217186,14952169,17601506,32553675,3G
176.234.202.67,43118,89.187.212.155,56011,69.63.176.13,5223,703371084642909,404452991905828,2025-08-10 13:40:56,2025-08-10 13:40:58,40440-36876-2101916,12.942347,80.111141,5603,14114,19717,2G
63.175.72.235,47887,131.197.236.49,17140,31.13.65.49,3478,703371084642909,404452991905828,2025-08-10 13:40:58,2025-08-10 13:40:59,40440-36876-2101916,12.942347,80.111141,2947,4235,7182,2G
67.246.194.33,57536,66.72.52.5,57536,31.13.64.51,58851,703371084642909,404452991905828,2025-08-10 13:40:59,2025-08-10 13:44:23,40440-36876-2101916,12.942347,80.111141,3406492,3413041,6819533,2G
119.253.188.86,45309,60.251.249.71,61602,185.60.218.35,5223,747731725168337,404452991936654,2025-08-10 13:41:32,2025-08-10 13:41:34,40440-46984-4300218,12.92649,80.156124,11233,18057,29290,4G
60.118.225.251,49895,113.110.207.60,24721,31.13.65.49,3478,747731725168337,404452991936654,2025-08-10 13:41:34,2025-08-10 13:41:35,40440-46984-4300218,12.92649,80.156124,4861,2994,7855,3G
50.122.1.97,54385,187.121.11.160,54385,185.60.216.35,58259,747731725168337,404452991936654,2025-08-10 13:41:35,2025-08-10 13:48:42,40440-46984-4300218,12.92649,80.156124,8661651,14019281,22680932,2G
119.46.109.54,57892,129.8.64.185,35016,157.240.1.53,5223,931980106110361,404452991927001,2025-08-10 13:43:46,2025-08-10 13:43:48,40440-31811-3964461,12.965731,80.136466,11562,11692,23254,3G
205.72.153.73,63532,92.215.150.239,48547,185.60.216.35,3478,931980106110361,404452991927001,2025-08-10 13:43:48,2025-08-10 13:43:49,40440-31811-3964461,12.965731,80.136466,4366,3748,8114,3G
